freqHz,wcetMs,phaseMs,c1RateDst,c1Init,c2RateSrc,c2Init,tickCount,worstCasePathMs,criticalPathThroughCnnMs,criticalPathExecutionThroughCnnMs
875,1/2,83/5,24/25,1,8/25,18,42000,123,98,6521/1500
875,3/4,83/5,24/25,1,8/25,18,42000,123,98,1724/375
850,0,83/5,84/85,1,28/85,18,51000,98,98,5771/1500
850,1/4,83/5,84/85,1,28/85,18,51000,98,98,3073/750
850,1/2,83/5,84/85,1,28/85,18,51000,98,98,6521/1500
850,3/4,83/5,84/85,1,28/85,18,51000,98,98,1724/375
850,1,83/5,84/85,1,28/85,18,51000,98,98,7271/1500
825,0,83/5,56/55,1,56/165,18,66000,123,98,5771/1500
825,1/4,83/5,56/55,1,56/165,18,66000,123,98,3073/750
825,1/2,83/5,56/55,1,56/165,18,66000,123,98,6521/1500
825,3/4,83/5,56/55,1,56/165,18,66000,123,98,1724/375
825,1,83/5,56/55,1,56/165,18,66000,123,98,7271/1500
275,0,83/5,168/55,14/11,56/55,18,66000,123,98,5771/1500
275,1/4,83/5,168/55,14/11,56/55,18,66000,123,98,3073/750
275,1/2,83/5,168/55,14/11,56/55,18,66000,123,98,6521/1500
275,3/4,83/5,168/55,14/11,56/55,18,66000,123,98,1724/375
275,1,83/5,168/55,14/11,56/55,18,66000,123,98,7271/1500
275,5/4,83/5,168/55,14/11,56/55,18,66000,123,98,3823/750
275,3/2,83/5,168/55,14/11,56/55,18,66000,123,98,8021/1500
950,0,83/5,84/95,1,28/95,18,57000,98,98,5771/1500
950,1/4,83/5,84/95,1,28/95,18,57000,98,98,3073/750
950,1/2,83/5,84/95,1,28/95,18,57000,98,98,6521/1500
950,3/4,83/5,84/95,1,28/95,18,57000,98,98,1724/375
325,0,83/5,168/65,98/65,56/65,18,78000,123,98,5771/1500
325,1/4,83/5,168/65,98/65,56/65,18,78000,123,98,3073/750
325,1/2,83/5,168/65,98/65,56/65,18,78000,123,98,6521/1500
325,3/4,83/5,168/65,98/65,56/65,18,78000,123,98,1724/375
325,1,83/5,168/65,98/65,56/65,18,78000,123,98,7271/1500
325,5/4,83/5,168/65,98/65,56/65,18,78000,123,98,3823/750
325,3/2,83/5,168/65,98/65,56/65,18,78000,123,98,8021/1500
325,7/4,83/5,168/65,98/65,56/65,18,78000,123,98,2099/375
975,0,83/5,56/65,1,56/195,18,78000,123,98,5771/1500
975,1/4,83/5,56/65,1,56/195,18,78000,123,98,3073/750
975,1/2,83/5,56/65,1,56/195,18,78000,123,98,6521/1500
975,3/4,83/5,56/65,1,56/195,18,78000,123,98,1724/375
425,0,83/5,168/85,154/85,56/85,18,102000,123,98,5771/1500
425,1/4,83/5,168/85,154/85,56/85,18,102000,123,98,3073/750
425,1/2,83/5,168/85,154/85,56/85,18,102000,123,98,6521/1500
